Year,Quarter,Revenue
2012,Q1,43425
2012,Q2,64973
2012,Q3,77744
2012,Q4,101400
2013,Q1,142019
2013,Q2,165902
2013,Q3,183051
2013,Q4,221418
2014,Q1,267118
2014,Q2,307461
2014,Q3,345685
2014,Q4,387797
2015,Q1,415397
2015,Q2,454763
2015,Q3,516870
2015,Q4,566405
2016,Q1,651748
2016,Q2,758201
2016,Q3,853480
2016,Q4,947666
2017,Q1,1046199
2017,Q2,1165228
2017,Q3,1327435
2017,Q4,1550329
