Year,Quarter,Revenue
2012,Q1,506665
2012,Q2,532705
2012,Q3,556027
2012,Q4,589471
2013,Q1,638649
2013,Q2,671089
2013,Q3,701083
2013,Q4,740554
2014,Q1,798617
2014,Q2,838225
2014,Q3,877150
2014,Q4,917442
2015,Q1,984532
2015,Q2,1025913
2015,Q3,1063961
2015,Q4,1105933
2016,Q1,1161241
2016,Q2,1208271
2016,Q3,1304333
2016,Q4,1403462
2017,Q1,1470042
2017,Q2,1505499
2017,Q3,1547210
2017,Q4,1630274
